,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
10,2017-11-01,33629.0,28425.3,33628982.657100014,33122387.951610014,506594.70549,33628982.657100014,11657995.803109996,8324348.80678286,12553464.114272805,1093173.9329353005,33628982.657100014,21967173.399896298,4297207.188262001,8282231.901499999,1138077.3718599998,3641546.5569,3032406.663384299,1206025.3777199998,369678.34027,4988358.591749999,864815.7013300001,2729390.0808200003,3079244.8833
20,2018-09-01,39925.5,24310.8,39925548.99754999,39313002.17497999,612546.82257,39925548.99754999,14307986.236589996,10187454.21635,14097447.208820008,1332661.33579,39925548.99754999,28191321.865456,4915662.833759998,11194772.656069998,1509785.4356299995,4594864.59784,4200513.124326,1330111.03351,445612.1843200001,6102652.80399,853166.7950261998,1853671.98311,2924735.549960001
30,2019-07-01,55044.5,23580.1,55044482.25732,54121341.62436,923140.63296,55044482.25732,18548992.456090007,15609905.9127,19194608.053610004,1690975.8349200003,55044482.25732,38131665.01202951,5612874.217779999,15602920.26619,2119480.47367,6625542.260160002,5890360.284974,1696455.0968255005,584032.4124300003,7868920.346770001,1715793.10165,3030760.22102,4297343.575850001
40,2020-05-01,78594.5,24012.7,78594521.82045001,74966605.02587001,3627916.794580001,78594521.82045001,24917663.39341,19703362.398560006,29750672.202390008,4222823.82609,78594521.82045001,54285024.123542,7437048.0772899985,22865786.66969,2588780.474071,9450381.786705,8676036.988140002,2771794.5182680013,495195.6093780001,11160547.922520002,2199429.091541,5705563.4648400005,5243957.21801
50,2021-03-01,107225.9,24627.6,107225884.48978,103243215.2959,3982669.19388,107225884.48978,33646699.760530025,28304088.351349995,39721336.17659,5553760.2013112,107225884.48978,75459017.55465901,12468763.319620002,29069610.328839995,3638242.4525299994,11823788.248000002,13353172.975238996,4214424.174690001,891016.0557400002,14963310.65866,2205228.88445,6918341.6043300005,7679985.787682
60,2022-01-01,154517.1,25463.4,154517094.1819681,149697614.62836808,4819479.553599999,154517094.1819681,46962602.2164548,46053650.12931095,54048333.11802423,7452508.718179998,154517094.1819681,103783610.342116,20364496.479049,37505172.62385601,4860317.679927002,16104766.205035,17408486.728430998,6138441.197065001,1401929.4287529995,21330213.293162003,3782646.219391001,12187552.347016,13433071.980283003
